Date : 2022-11-19 19:02:07
Directory : e:\Development\Orion
Total : 2048 files,  421928 codes, 70987 comments, 60319 blanks, all 553234 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\color_space_YCoCg.inl                                                | C++              |         98 |          1 |          9 |        108 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\common.hpp                                                           | C++              |         24 |         42 |         11 |         77 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\common.inl                                                           | C++              |        105 |          2 |         19 |        126 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\compatibility.hpp                                                    | C++              |         98 |         15 |         21 |        134 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\compatibility.inl                                                    | C++              |         55 |          1 |          7 |         63 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\component_wise.hpp                                                   | C++              |         26 |         31 |         13 |         70 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\component_wise.inl                                                   | C++              |        109 |          1 |         18 |        128 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\dual_quaternion.hpp                                                  | C++              |        121 |         89 |         65 |        275 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\dual_quaternion.inl                                                  | C++              |        286 |         12 |         55 |        353 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\easing.hpp                                                           | C++              |         82 |         97 |         41 |        220 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\easing.inl                                                           | C++              |        334 |         32 |         71 |        437 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\euler_angles.hpp                                                     | C++              |        188 |        100 |         48 |        336 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\euler_angles.inl                                                     | C++              |        833 |          1 |         66 |        900 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\extend.hpp                                                           | C++              |         18 |         17 |          8 |         43 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\extend.inl                                                           | C++              |         43 |          1 |          5 |         49 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\extended_min_max.hpp                                                 | C++              |         80 |         39 |         19 |        138 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\extended_min_max.inl                                                 | C++              |        125 |          1 |         13 |        139 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\exterior_product.hpp                                                 | C++              |         16 |         22 |          8 |         46 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\exterior_product.inl                                                 | C++              |         20 |          1 |          6 |         27 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\fast_exponential.hpp                                                 | C++              |         37 |         40 |         19 |         96 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\fast_exponential.inl                                                 | C++              |         73 |         50 |         14 |        137 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\fast_square_root.hpp                                                 | C++              |         35 |         47 |         17 |         99 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\fast_square_root.inl                                                 | C++              |         56 |          6 |         14 |         76 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\fast_trigonometry.hpp                                                | C++              |         29 |         36 |         15 |         80 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\fast_trigonometry.inl                                                | C++              |        113 |          8 |         22 |        143 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\float_notmalize.inl                                                  | C++              |          9 |          1 |          4 |         14 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\functions.hpp                                                        | C++              |         25 |         22 |         10 |         57 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\functions.inl                                                        | C++              |         25 |          1 |          5 |         31 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\gradient_paint.hpp                                                   | C++              |         25 |         20 |          9 |         54 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\gradient_paint.inl                                                   | C++              |         32 |          1 |          4 |         37 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\handed_coordinate_space.hpp                                          | C++              |         23 |         19 |          9 |         51 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\handed_coordinate_space.inl                                          | C++              |         23 |          1 |          3 |         27 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\hash.hpp                                                             | C++              |        106 |         11 |         26 |        143 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\hash.inl                                                             | C++              |        158 |         10 |         17 |        185 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\integer.hpp                                                          | C++              |         25 |         35 |         17 |         77 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\integer.inl                                                          | C++              |        131 |         25 |         30 |        186 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\intersect.hpp                                                        | C++              |         49 |         31 |         13 |         93 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\intersect.inl                                                        | C++              |        156 |         13 |         32 |        201 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\io.hpp                                                               | C++              |        138 |         23 |         41 |        202 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\io.inl                                                               | C++              |        367 |          2 |         72 |        441 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\log_base.hpp                                                         | C++              |         21 |         19 |          9 |         49 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\log_base.inl                                                         | C++              |         13 |          1 |          3 |         17 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\matrix_cross_product.hpp                                             | C++              |         19 |         20 |          9 |         48 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\matrix_cross_product.inl                                             | C++              |         33 |          1 |          4 |         38 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\matrix_decompose.hpp                                                 | C++              |         22 |         17 |          8 |         47 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\matrix_decompose.inl                                                 | C++              |        118 |         42 |         33 |        193 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\matrix_factorisation.hpp                                             | C++              |         21 |         37 |         12 |         70 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\matrix_factorisation.inl                                             | C++              |         53 |         17 |         15 |         85 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\matrix_interpolation.hpp                                             | C++              |         25 |         25 |         11 |         61 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\matrix_interpolation.inl                                             | C++              |        134 |          1 |         12 |        147 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\matrix_major_storage.hpp                                             | C++              |         61 |         40 |         19 |        120 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\matrix_major_storage.inl                                             | C++              |        153 |          1 |         13 |        167 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\matrix_operation.hpp                                                 | C++              |         46 |         39 |         19 |        104 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\matrix_operation.inl                                                 | C++              |        156 |          1 |         20 |        177 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\matrix_query.hpp                                                     | C++              |         31 |         32 |         15 |         78 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\matrix_query.inl                                                     | C++              |        103 |          1 |         10 |        114 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\matrix_transform_2d.hpp                                              | C++              |         34 |         36 |         12 |         82 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\matrix_transform_2d.inl                                              | C++              |         56 |          2 |         11 |         69 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\mixed_product.hpp                                                    | C++              |         18 |         16 |          8 |         42 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\mixed_product.inl                                                    | C++              |         13 |          1 |          2 |         16 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\norm.hpp                                                             | C++              |         35 |         37 |         17 |         89 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\norm.inl                                                             | C++              |         79 |          1 |         16 |         96 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\normal.hpp                                                           | C++              |         15 |         19 |          8 |         42 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\normal.inl                                                           | C++              |         13 |          1 |          2 |         16 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\normalize_dot.hpp                                                    | C++              |         17 |         24 |          9 |         50 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\normalize_dot.inl                                                    | C++              |         13 |          1 |          3 |         17 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\number_precision.hpp                                                 | C++              |         26 |         23 |         13 |         62 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\number_precision.inl                                                 | C++              |          3 |          1 |          3 |          7 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\optimum_pow.hpp                                                      | C++              |         21 |         24 |         10 |         55 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\optimum_pow.inl                                                      | C++              |         18 |          1 |          4 |         23 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\orthonormalize.hpp                                                   | C++              |         19 |         22 |          9 |         50 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\orthonormalize.inl                                                   | C++              |         22 |          1 |          7 |         30 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\pca.hpp                                                              | C++              |         34 |         62 |         16 |        112 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\pca.inl                                                              | C++              |        307 |          4 |         33 |        344 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\perpendicular.hpp                                                    | C++              |         16 |         18 |          8 |         42 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\perpendicular.inl                                                    | C++              |          8 |          1 |          2 |         11 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\polar_coordinates.hpp                                                | C++              |         19 |         21 |          9 |         49 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\polar_coordinates.inl                                                | C++              |         30 |          1 |          6 |         37 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\projection.hpp                                                       | C++              |         15 |         21 |          8 |         44 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\projection.inl                                                       | C++              |          8 |          1 |          2 |         11 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\quaternion.hpp                                                       | C++              |         78 |         73 |         24 |        175 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\quaternion.inl                                                       | C++              |        128 |          9 |         23 |        160 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\range.hpp                                                            | C++              |         66 |         15 |         18 |         99 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\raw_data.hpp                                                         | C++              |         18 |         23 |         11 |         52 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\raw_data.inl                                                         | C++              |          0 |          1 |          2 |          3 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\rotate_normalized_axis.hpp                                           | C++              |         25 |         35 |          9 |         69 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\rotate_normalized_axis.inl                                           | C++              |         46 |          2 |         11 |         59 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\rotate_vector.hpp                                                    | C++              |         63 |         43 |         18 |        124 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\rotate_vector.inl                                                    | C++              |        149 |         18 |         21 |        188 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\scalar_multiplication.hpp                                            | C++              |         53 |         13 |         10 |         76 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\scalar_relational.hpp                                                | C++              |         13 |         15 |          9 |         37 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\scalar_relational.inl                                                | C++              |         78 |          1 |         10 |         89 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\spline.hpp                                                           | C++              |         35 |         21 |         10 |         66 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\spline.inl                                                           | C++              |         51 |          1 |          9 |         61 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\std_based_type.hpp                                                   | C++              |         22 |         32 |         15 |         69 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\std_based_type.inl                                                   | C++              |          3 |          1 |          3 |          7 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\string_cast.hpp                                                      | C++              |         20 |         19 |          8 |         47 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\string_cast.inl                                                      | C++              |        427 |          1 |         65 |        493 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\texture.hpp                                                          | C++              |         17 |         21 |          9 |         47 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\texture.inl                                                          | C++              |         13 |          1 |          4 |         18 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\transform.hpp                                                        | C++              |         24 |         27 |         10 |         61 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\transform.inl                                                        | C++              |         18 |          1 |          5 |         24 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\transform2.hpp                                                       | C++              |         32 |         40 |         18 |         90 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\transform2.inl                                                       | C++              |        110 |          1 |         15 |        126 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\type_aligned.hpp                                                     | C++              |        231 |        468 |        284 |        983 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\type_aligned.inl                                                     | C++              |          3 |          1 |          3 |          7 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\type_trait.hpp                                                       | C++              |         59 |         15 |         12 |         86 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\type_trait.inl                                                       | C++              |         51 |          5 |          6 |         62 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\vec_swizzle.hpp                                                      | C++              |      1,947 |        347 |        489 |      2,783 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\vector_angle.hpp                                                     | C++              |         22 |         26 |         10 |         58 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\vector_angle.inl                                                     | C++              |         37 |          1 |          8 |         46 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\vector_query.hpp                                                     | C++              |         27 |         27 |         13 |         67 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\vector_query.inl                                                     | C++              |        128 |          1 |         26 |        155 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\wrap.hpp                                                             | C++              |         16 |         15 |          7 |         38 |
| e:\Development\Orion\Orion\vendor\glm\glm\gtx\wrap.inl                                                             | C++              |          3 |          1 |          3 |          7 |
| e:\Development\Orion\Orion\vendor\glm\glm\integer.hpp                                                              | C++              |         55 |        139 |         19 |        213 |
| e:\Development\Orion\Orion\vendor\glm\glm\mat2x2.hpp                                                               | C++              |          5 |          2 |          3 |         10 |
| e:\Development\Orion\Orion\vendor\glm\glm\mat2x3.hpp                                                               | C++              |          5 |          2 |          3 |         10 |
| e:\Development\Orion\Orion\vendor\glm\glm\mat2x4.hpp                                                               | C++              |          5 |          2 |          3 |         10 |
| e:\Development\Orion\Orion\vendor\glm\glm\mat3x2.hpp                                                               | C++              |          5 |          2 |          3 |         10 |
| e:\Development\Orion\Orion\vendor\glm\glm\mat3x3.hpp                                                               | C++              |          5 |          2 |          2 |          9 |
| e:\Development\Orion\Orion\vendor\glm\glm\mat3x4.hpp                                                               | C++              |          5 |          2 |          2 |          9 |
| e:\Development\Orion\Orion\vendor\glm\glm\mat4x2.hpp                                                               | C++              |          5 |          2 |          3 |         10 |
| e:\Development\Orion\Orion\vendor\glm\glm\mat4x3.hpp                                                               | C++              |          5 |          2 |          2 |          9 |
| e:\Development\Orion\Orion\vendor\glm\glm\mat4x4.hpp                                                               | C++              |          5 |          2 |          3 |         10 |
| e:\Development\Orion\Orion\vendor\glm\glm\matrix.hpp                                                               | C++              |         78 |         63 |         21 |        162 |
| e:\Development\Orion\Orion\vendor\glm\glm\packing.hpp                                                              | C++              |         20 |        136 |         18 |        174 |
| e:\Development\Orion\Orion\vendor\glm\glm\simd\common.h                                                            | C                |        197 |         11 |         33 |        241 |
| e:\Development\Orion\Orion\vendor\glm\glm\simd\exponential.h                                                       | C                |         12 |          2 |          7 |         21 |
| e:\Development\Orion\Orion\vendor\glm\glm\simd\geometric.h                                                         | C                |        105 |          2 |         18 |        125 |
| e:\Development\Orion\Orion\vendor\glm\glm\simd\integer.h                                                           | C                |         63 |         29 |         24 |        116 |
| e:\Development\Orion\Orion\vendor\glm\glm\simd\matrix.h                                                            | C                |        546 |        310 |        173 |      1,029 |
| e:\Development\Orion\Orion\vendor\glm\glm\simd\neon.h                                                              | C                |        144 |          2 |         10 |        156 |
| e:\Development\Orion\Orion\vendor\glm\glm\simd\packing.h                                                           | C                |          3 |          2 |          4 |          9 |
| e:\Development\Orion\Orion\vendor\glm\glm\simd\platform.h                                                          | C                |        349 |         23 |         37 |        409 |
| e:\Development\Orion\Orion\vendor\glm\glm\simd\trigonometric.h                                                     | C                |          3 |          2 |          5 |         10 |
| e:\Development\Orion\Orion\vendor\glm\glm\simd\vector_relational.h                                                 | C                |          3 |          2 |          4 |          9 |
| e:\Development\Orion\Orion\vendor\glm\glm\trigonometric.hpp                                                        | C++              |         37 |        153 |         21 |        211 |
| e:\Development\Orion\Orion\vendor\glm\glm\vec2.hpp                                                                 | C++              |         11 |          2 |          2 |         15 |
| e:\Development\Orion\Orion\vendor\glm\glm\vec3.hpp                                                                 | C++              |         11 |          2 |          2 |         15 |
| e:\Development\Orion\Orion\vendor\glm\glm\vec4.hpp                                                                 | C++              |         11 |          2 |          3 |         16 |
| e:\Development\Orion\Orion\vendor\glm\glm\vector_relational.hpp                                                    | C++              |         25 |         82 |         15 |        122 |
| e:\Development\Orion\Orion\vendor\glm\manual.md                                                                    | Markdown         |      1,604 |          0 |        827 |      2,431 |
| e:\Development\Orion\Orion\vendor\glm\readme.md                                                                    | Markdown         |      1,065 |          0 |        167 |      1,232 |
| e:\Development\Orion\Orion\vendor\glm\test\bug\bug_ms_vec_static.cpp                                               | C++              |         23 |          2 |          7 |         32 |
| e:\Development\Orion\Orion\vendor\glm\test\cmake\test_find_glm.cpp                                                 | C++              |         19 |          0 |          4 |         23 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_cpp_constexpr.cpp                                             | C++              |        586 |          0 |        165 |        751 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_cpp_defaulted_ctor.cpp                                        | C++              |        118 |          0 |         28 |        146 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_force_aligned_gentypes.cpp                                    | C++              |          7 |          0 |          4 |         11 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_force_arch_unknown.cpp                                        | C++              |         10 |          0 |          5 |         15 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_force_compiler_unknown.cpp                                    | C++              |         10 |          0 |          5 |         15 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_force_ctor_init.cpp                                           | C++              |        100 |          0 |         40 |        140 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_force_cxx03.cpp                                               | C++              |         10 |          0 |          5 |         15 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_force_cxx98.cpp                                               | C++              |         10 |          0 |          5 |         15 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_force_cxx_unknown.cpp                                         | C++              |         10 |          0 |          5 |         15 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_force_depth_zero_to_one.cpp                                   | C++              |          8 |          0 |          5 |         13 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_force_explicit_ctor.cpp                                       | C++              |         10 |          1 |          7 |         18 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_force_inline.cpp                                              | C++              |          8 |          0 |          5 |         13 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_force_left_handed.cpp                                         | C++              |          8 |          0 |          5 |         13 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_force_platform_unknown.cpp                                    | C++              |         10 |          0 |          5 |         15 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_force_pure.cpp                                                | C++              |        351 |          2 |         82 |        435 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_force_quat_xyzw.cpp                                           | C++              |          9 |          0 |          5 |         14 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_force_size_t_length.cpp                                       | C++              |          8 |          0 |          5 |         13 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_force_unrestricted_gentype.cpp                                | C++              |          8 |          0 |          5 |         13 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_force_xyzw_only.cpp                                           | C++              |         46 |          0 |         13 |         59 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_func_common.cpp                                               | C++              |      1,076 |         12 |        262 |      1,350 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_func_exponential.cpp                                          | C++              |        130 |          1 |         55 |        186 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_func_geometric.cpp                                            | C++              |        162 |          0 |         39 |        201 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_func_integer.cpp                                              | C++              |      1,231 |         42 |        284 |      1,557 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_func_integer_bit_count.cpp                                    | C++              |        222 |         15 |         55 |        292 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_func_integer_find_lsb.cpp                                     | C++              |        312 |         30 |         75 |        417 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_func_integer_find_msb.cpp                                     | C++              |        306 |         60 |         75 |        441 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_func_matrix.cpp                                               | C++              |        326 |          3 |         64 |        393 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_func_noise.cpp                                                | C++              |          5 |          0 |          3 |          8 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_func_packing.cpp                                              | C++              |        120 |          7 |         30 |        157 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_func_swizzle.cpp                                              | C++              |        121 |          0 |         44 |        165 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_func_trigonometric.cpp                                        | C++              |          6 |          0 |          5 |         11 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_func_vector_relational.cpp                                    | C++              |        143 |          0 |         38 |        181 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_setup_force_cxx98.cpp                                         | C++              |         10 |          0 |          3 |         13 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_setup_force_size_t_length.cpp                                 | C++              |         18 |          0 |          5 |         23 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_setup_message.cpp                                             | C++              |        209 |          0 |         22 |        231 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_setup_platform_unknown.cpp                                    | C++              |         19 |          0 |          3 |         22 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_setup_precision.cpp                                           | C++              |         45 |          0 |         14 |         59 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_type_aligned.cpp                                              | C++              |         72 |          0 |         21 |         93 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_type_cast.cpp                                                 | C++              |        110 |          0 |         37 |        147 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_type_ctor.cpp                                                 | C++              |        278 |          0 |         74 |        352 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_type_int.cpp                                                  | C++              |         19 |          0 |          8 |         27 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_type_length.cpp                                               | C++              |         60 |          0 |         19 |         79 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_type_mat2x2.cpp                                               | C++              |        143 |          0 |         35 |        178 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_type_mat2x3.cpp                                               | C++              |        116 |          0 |         27 |        143 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_type_mat2x4.cpp                                               | C++              |        118 |          0 |         30 |        148 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_type_mat3x2.cpp                                               | C++              |        120 |          0 |         29 |        149 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_type_mat3x3.cpp                                               | C++              |        161 |          0 |         37 |        198 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_type_mat3x4.cpp                                               | C++              |        122 |          0 |         28 |        150 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_type_mat4x2.cpp                                               | C++              |        124 |          0 |         28 |        152 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_type_mat4x3.cpp                                               | C++              |        124 |          0 |         29 |        153 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_type_mat4x4.cpp                                               | C++              |        164 |          4 |         51 |        219 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_type_vec1.cpp                                                 | C++              |        113 |         24 |         33 |        170 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_type_vec2.cpp                                                 | C++              |        312 |          3 |         78 |        393 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_type_vec3.cpp                                                 | C++              |        478 |         27 |        124 |        629 |
| e:\Development\Orion\Orion\vendor\glm\test\core\core_type_vec4.cpp                                                 | C++              |        612 |         66 |        173 |        851 |
| e:\Development\Orion\Orion\vendor\glm\test\ext\ext_matrix_clip_space.cpp                                           | C++              |         11 |          0 |          3 |         14 |
| e:\Development\Orion\Orion\vendor\glm\test\ext\ext_matrix_common.cpp                                               | C++              |         44 |          0 |         10 |         54 |
| e:\Development\Orion\Orion\vendor\glm\test\ext\ext_matrix_int2x2_sized.cpp                                         | C++              |         21 |          0 |          8 |         29 |
| e:\Development\Orion\Orion\vendor\glm\test\ext\ext_matrix_int2x3_sized.cpp                                         | C++              |         21 |          0 |          8 |         29 |
| e:\Development\Orion\Orion\vendor\glm\test\ext\ext_matrix_int2x4_sized.cpp                                         | C++              |         21 |          0 |          8 |         29 |
| e:\Development\Orion\Orion\vendor\glm\test\ext\ext_matrix_int3x2_sized.cpp                                         | C++              |         21 |          0 |          8 |         29 |
| e:\Development\Orion\Orion\vendor\glm\test\ext\ext_matrix_int3x3_sized.cpp                                         | C++              |         21 |          0 |          8 |         29 |
| e:\Development\Orion\Orion\vendor\glm\test\ext\ext_matrix_int3x4_sized.cpp                                         | C++              |         21 |          0 |          8 |         29 |
| e:\Development\Orion\Orion\vendor\glm\test\ext\ext_matrix_int4x2_sized.cpp                                         | C++              |         21 |          0 |          8 |         29 |
| e:\Development\Orion\Orion\vendor\glm\test\ext\ext_matrix_int4x3_sized.cpp                                         | C++              |         21 |          0 |          8 |         29 |
| e:\Development\Orion\Orion\vendor\glm\test\ext\ext_matrix_int4x4_sized.cpp                                         | C++              |         21 |          0 |          8 |         29 |
| e:\Development\Orion\Orion\vendor\glm\test\ext\ext_matrix_integer.cpp                                              | C++              |        200 |          0 |         38 |        238 |
| e:\Development\Orion\Orion\vendor\glm\test\ext\ext_matrix_projection.cpp                                           | C++              |         11 |          0 |          3 |         14 |
| e:\Development\Orion\Orion\vendor\glm\test\ext\ext_matrix_relational.cpp                                           | C++              |        129 |          0 |         35 |        164 |
| e:\Development\Orion\Orion\vendor\glm\test\ext\ext_matrix_transform.cpp                                            | C++              |         46 |          0 |         16 |         62 |
| e:\Development\Orion\Orion\vendor\glm\test\ext\ext_matrix_uint2x2_sized.cpp                                        | C++              |         21 |          0 |          8 |         29 |
| e:\Development\Orion\Orion\vendor\glm\test\ext\ext_matrix_uint2x3_sized.cpp                                        | C++              |         21 |          0 |          8 |         29 |
| e:\Development\Orion\Orion\vendor\glm\test\ext\ext_matrix_uint2x4_sized.cpp                                        | C++              |         21 |          0 |          8 |         29 |
